  19.80000 4.41036E+09 1.28838E+09   0.40760
  19.90000 4.00902E+09 1.17703E+09   0.40519
  20.00000 3.64530E+09 1.07563E+09   0.40280
  20.10000 3.31557E+09 9.83243E+08   0.40041
  20.20000 3.01659E+09 8.99059E+08   0.39802
  20.30000 2.74539E+09 8.22324E+08   0.39565
  20.40000 2.49932E+09 7.52361E+08   0.39328
  20.50000 2.27600E+09 6.88552E+08   0.39092
  20.60000 2.07326E+09 6.30340E+08   0.38857
  20.70000 1.88914E+09 5.77219E+08   0.38622
  20.80000 1.72190E+09 5.28731E+08   0.38389
  20.90000 1.56993E+09 4.84458E+08   0.38156
  21.00000 1.43181E+09 4.44023E+08   0.37924
  21.10000 1.30623E+09 4.07082E+08   0.37692
  21.20000 1.19203E+09 3.73325E+08   0.37461
  21.30000 1.08814E+09 3.42467E+08   0.37232
  21.40000 9.93604E+08 3.14253E+08   0.37002
  21.50000 9.07555E+08 2.88448E+08   0.36774
  21.60000 8.29208E+08 2.64839E+08   0.36546
  21.70000 7.57852E+08 2.43235E+08   0.36319
  21.80000 6.92846E+08 2.23459E+08   0.36093
  21.90000 6.33607E+08 2.05350E+08   0.35868
  22.00000 5.79608E+08 1.88765E+08   0.35643
  22.10000 5.30371E+08 1.73571E+08   0.35420
  22.20000 4.85463E+08 1.59646E+08   0.35197
  22.30000 4.44491E+08 1.46882E+08   0.34974
  22.40000 4.07100E+08 1.35178E+08   0.34753
  22.50000 3.72967E+08 1.24443E+08   0.34532
  22.60000 3.41798E+08 1.14594E+08   0.34312
  22.70000 3.13329E+08 1.05556E+08   0.34093
  22.80000 2.87318E+08 9.72595E+07   0.33874
  22.90000 2.63546E+08 8.96413E+07   0.33656
  23.00000 2.41813E+08 8.26441E+07   0.33439
  23.10000 2.21939E+08 7.62155E+07   0.33223
  23.20000 2.03761E+08 7.03077E+07   0.33008
  23.30000 1.87127E+08 6.48768E+07   0.32793
  23.40000 1.71904E+08 5.98831E+07   0.32579
  23.50000 1.57966E+08 5.52900E+07   0.32366
  23.60000 1.45202E+08 5.10642E+07   0.32153
  23.70000 1.33510E+08 4.71753E+07   0.31942
  23.80000 1.22796E+08 4.35954E+07   0.31731
  23.90000 1.12976E+08 4.02989E+07   0.31521
  24.00000 1.03973E+08 3.72627E+07   0.31311
  24.10000 9.57163E+07 3.44654E+07   0.31103
  24.20000 8.81417E+07 3.18875E+07   0.30895
  24.30000 8.11910E+07 2.95110E+07   0.30688
  24.40000 7.48110E+07 2.73197E+07   0.30481
  24.50000 6.89531E+07 2.52986E+07   0.30276
  24.60000 6.35730E+07 2.34338E+07   0.30071
  24.70000 5.86304E+07 2.17129E+07   0.29867
  24.80000 5.40884E+07 2.01243E+07   0.29664
